Url,Title,Brand,Gender,Accords,Short Description,long Description,Perfumer,Top notes,Middle notes,Rating,Out of ,Total no of votes
https://www.fragrantica.com/perfume/Givenchy/Hot-Couture-35.html,Hot Couture Givenchy ,Givenchy,for women,"fruity,fresh spicy,sweet,woody,citrus,aromatic,warm spicy,powdery,floral,amber","Hot Couture  by  Givenchy  is a Floral fragrance for women.  Hot Couture  was launched in 2000. Hot Couture was created by Alberto Morillas and Jacques Cavallier. Top notes are Raspberry, Bergamot and Orange; middle notes are Pepper, Vetiver and Magnolia; base notes are Sandalwood, Amber and Musk. ","Hot Couture is dedicated to the perfection of a woman’s body; sensual and glamorous, refined and elegant, this perfume is created for unusual woman, provocative and irresistibly charming.
Top notes include citrus; the heart is composed of magnolia, pepper and vetiver, while the base notes are sandalwood, amber and musk.
Perfume was created by Alberto Morillas and Jacques Cavallier in 2000, while the bottle was designed by Serge Mansau. This fragrance is available in 50ml and 100 ml Eau de Parfum bottles.","Alberto Morillas,Jacques Cavallier","Raspberry,Bergamot,Orange","Pepper,Vetiver,Magnolia",4.09,5,"4,184"
https://www.fragrantica.com/perfume/Robert-Piguet/Bandit-15.html,Bandit Robert Piguet ,Robert Piguet,for women,"aromatic,animalic,earthy,mossy,woody,leather,green,musky,aldehydic,white floral","Bandit  by  Robert Piguet  is a Chypre Floral fragrance for women.  Bandit  was launched in 1944. The nose behind this fragrance is Germaine Cellier. Top notes are Aldehydes, Galbanum, Artemisia, Bergamot, Neroli, Gardenia, Ylang-Ylang and Orange; middle notes are Carnation, Jasmine, Violet Root, Rose and Tuberose; base notes are Oakmoss, Leather, Civet, Vetiver, Patchouli, Myrrh, Musk, Amber and Coconut. ","Bandit is the most daring in the whole line of perfumes like Caron Tabac Blond and Chanel Cuir de Russie, perfumes for an emancipated woman on the turn of the last century; for a woman who dares to smoke in the public. Bandit was made for the avantgarde Robert Piguet's collection, inspired by romantic sea voyages and pirates. Bandit is a classic ""chypre"" with dark animal notes and aggressive leather accord. In 1999, after 25 years, production of Bandit started again. Eau de toilette has the greatest sharpness. In the perfume version, leather and smoke notes are followed by clear notes of white flowers and vetiver.",Germaine Cellier,"Aldehydes,Galbanum,Artemisia,Bergamot,Neroli,Gardenia,Ylang-Ylang,Orange","Carnation,Jasmine,Violet Root,Rose,Tuberose",4.01,5,"2,142"
https://www.fragrantica.com/perfume/Divine/Divine-42.html,Divine Divine ,Divine,for women,"white floral,tuberose,woody,powdery,warm spicy,rose,mossy,animalic,earthy,musky","Divine  by  Divine  is a Floral Woody Musk fragrance for women.  Divine  was launched in 1986. Divine was created by Yann Vasnier and Richard Ibanez. Top notes are Tuberose, Peach and Coriander; middle notes are Gardenia, Rose, Jasmine, Spicy Notes, Orange Blossom and Patchouli; base notes are Oakmoss, Musk, Sandalwood and Vanilla. ","Divine opens with fresh peach, gently spiced with coriander. The heart of the perfume blooms with sensual gardenia, tuberose and May rose. The base is warm and spiced: oakmoss, musk, vanilla and other spices. 
 The designers are Richard Ibanez of Robertet and Yann Vasnier of Givaudan, USA. Available in eau de parfum and pure perfume.","Richard Ibanez,Yann Vasnier","Tuberose,Peach,Coriander","Gardenia,Rose,Jasmine,Spicy Notes,Orange Blossom,Patchouli",4.10,5,171
https://www.fragrantica.com/perfume/Guerlain/Nahema-46.html,Nahema Guerlain ,Guerlain,for women,"floral,rose,green,woody,fresh,fruity,sweet,balsamic,aldehydic,white floral","Nahema  by  Guerlain  is a Oriental Floral fragrance for women.  Nahema  was launched in 1979. The nose behind this fragrance is Jean-Paul Guerlain. Top notes are Rose, Peach, Aldehydes, Green Notes and Bergamot; middle notes are Bulgarian Rose, Hiacynth, Ylang-Ylang, Lilac, Jasmine and Lily-of-the-Valley; base notes are Peru Balsam, Sandalwood, Passionfruit, Vanilla and Vetiver. ","Nahema was created by Jean-Paul Guerlain in 1979. The top notes are rose, peach, bergamot and green notes in alliance with fresh aldehyde notes. The heart is created of luscious hyacinth, Bulgarian rose, ylang-ylang, jasmine, lilac and lily of the valley. The warm base is composed of vanilla, passion flower, Peru balsam, vetiver and sandalwood. The fragrance is exuberant, even heavy, with dark, honey-like base notes which emphasize the delicacy of rose.",Jean-Paul Guerlain,"Rose,Peach,Aldehydes,Green Notes,Bergamot","Bulgarian Rose,Hiacynth,Ylang-Ylang,Lilac,Jasmine,Lily-of-the-Valley",4.21,5,"1,549"
https://www.fragrantica.com/perfume/Guerlain/Parure-47.html,Parure Guerlain ,Guerlain,for women,"green,fruity,earthy,mossy,floral,citrus,rose,woody,sweet,fresh","Parure  by  Guerlain  is a Chypre Fruity fragrance for women.  Parure  was launched in 1975. The nose behind this fragrance is Jean-Paul Guerlain. Top notes are Plum, Green Notes, Bergamot, Fruity Notes and Citruses; middle notes are Rose, Narcissus, Orris Root, Lilac, Lily-of-the-Valley and Jasmine; base notes are Oakmoss, Leather, Spices, Patchouli and Amber. ","Parure was created by Jean-Paul Guerlain in 1975. It is a sensual and elegant chypre. The top notes are dark, even a bit fusty, but very soon there comes a gentle rose wave to mitigate the first \'antiquary\' impression. The dark plum sounds elegant in the heart of the composition, which, by the way, is not gourmand at all. The fragrance features plum, bergamot, green notes; lily of the valley, rose, iris, lilac, jasmine, narcissus; and oak moss, spices, amber, rose and patchouli in the base.",Jean-Paul Guerlain,"Plum,Green Notes,Bergamot,Fruity Notes,Citruses","Rose,Narcissus,Orris Root,Lilac,Lily-of-the-Valley,Jasmine",4.38,5,440
https://www.fragrantica.com/perfume/Hermes/24-Faubourg-Eau-Delicate-22.html,24 Faubourg Eau Delicate Hermès ,Hermès,for women,"white floral,fresh spicy,aromatic,citrus,musky",24 Faubourg Eau Delicate  by  Hermès  is a Oriental Floral fragrance for women.  24 Faubourg Eau Delicate  was launched in 2003. The nose behind this fragrance is Jean-Claude Ellena. ,"This is a lighter and fresher version of the famous 24 Faubourg. The fragrance is a balance between the old and the new, original notes. Despite the similarities with 24 Faubourg, this is a completely new perfume. Orange blossom, jasmine, geranium, raspberry leaves and bay leaves are in the top notes. The base is made of sandalwood and musk.
The perfume was created by Jean-Claude Ellena in 2003.",Jean-Claude Ellena,"African Orange flower,Jasmine,Geranium,Bay Leaf,Musk,Sandalwood",,4.16,5,366
https://www.fragrantica.com/perfume/Guerlain/Vol-de-Nuit-49.html,Vol de Nuit Guerlain ,Guerlain,for women,"powdery,iris,green,earthy,woody,citrus,aromatic,mossy,violet,warm spicy","Vol de Nuit  by  Guerlain  is a Woody fragrance for women.  Vol de Nuit  was launched in 1933. The nose behind this fragrance is Jacques Guerlain. Top notes are Galbanum, Narcissus, Bergamot, Orange Blossom, Lemon, Orange and Mandarin Orange; middle notes are iris, Narcissus, Aldehydes, Vanilla, Violet, Indonesian Carnation, Rose and Jasmine; base notes are Oakmoss, Orris Root, Sandalwood, Spices and Musk. ","Vol de Nuit or ‘night-flying’ was created in 1933. It was named after Antoine Saint Exupery\'s second novel \'Night Flight\', a fragrant story of love and romance of the first years of aviation. The dark amber colored bottle has a relief of a moving aircraft propeller. The composition is based on balance between the woodsy and cold notes, as nothing else could more staunchly impress the depth of the dark skies and feeling of ascending. The top notes are bergamot, galbanum and petit grain; the heart reveals jasmine, daffodil and spices; the base combines earthy woods, iris, vanilla, amber and woodsy notes. Vol de Nuit was created by Jacques Guerlain.",Jacques Guerlain,"Galbanum,Narcissus,Bergamot,Orange Blossom,Lemon,Orange,Mandarin Orange","iris,Narcissus,Aldehydes,Vanilla,Violet,Indonesian Carnation,Rose,Jasmine",4.42,5,"1,958"
https://www.fragrantica.com/perfume/Givenchy/Pi-39.html,Pi Givenchy ,Givenchy,for men,"vanilla,sweet,amber,almond,aromatic,nutty,fruity,warm spicy,fresh spicy","Pi  by  Givenchy  is a Oriental Woody fragrance for men.  Pi  was launched in 1998. The nose behind this fragrance is Alberto Morillas. Top notes are Mandarin Orange, Tarragon, Rosemary and Basil; middle notes are Anise, Neroli, Geranium and Lily-of-the-Valley; base notes are Vanilla, Almond, Tonka Bean, Benzoin and Cedar. ","Oriental woody perfume Pi by the house of Givenchy is excellent for eternal explorers and fans of sensual experiments. Its geometric bottle with perfectly clear lines contains a woody, sensual scent. Basil, rosemary, tarragon and neroli introduce freshness into this generally warm, oriental composition with an accentuated strong note of Guaiac wood standing in union with balmy notes of vanilla, tonka and benzoin resin. The perfume was created by Alberto Morillas in1998.
 There are several successors of this edition. Their bottles were designed similarly, with an exception of modern and futuristic Pi Neo perfume from 2008. The bottle for Pi was created by Serge Mansau.
 The successors of perfume Pi from 1998 are the following: Pi Fraiche 2001, Pi Metallic Collector 2004, Pi Original Code 2006, Pi Leather Jacket 2006 and Pi Neo from 2008.
 Their composition opens with aromas of basil, rosemary, tarragon and mandarin. A heart encompasses neroli, geranium, lily of the valley and anise, while base notes include: vanilla, tonka, cedar, benzoin, almond and yellow sugar.",Alberto Morillas,"Mandarin Orange,Tarragon,Rosemary,Basil","Anise,Neroli,Geranium,Lily-of-the-Valley",4.12,5,"5,348"
https://www.fragrantica.com/perfume/Hermes/Parfum-des-Merveilles-10.html,Parfum des Merveilles Hermès ,Hermès,for women,"woody,amber,balsamic,earthy,patchouli,mossy,warm spicy",Parfum des Merveilles  by  Hermès  is a Oriental Floral fragrance for women.  Parfum des Merveilles  was launched in 2005. Parfum des Merveilles was created by Jean-Claude Ellena and Ralf Schwieger. ,"Parfum de Merveilles was created in 2005, the year after the Eau de Merveilles. Perfume has warmer and darker notes, enriched with patchouli and resin. Sweetness of cognac can be felt through a sparkling citrus note. Its scent, which is rather gentle and complex than fresh, makes the whole composition more beautiful.
After a while, dark woody notes become more intense, just as with Eau de Mervielles, but in this perfume each note is darker and richer. Salty marine note, which is not obvious in the top, is in a beautiful harmony with warmth of main ingredients.","Jean-Claude Ellena,Ralf Schwieger","Peru Balsam,Patchouli,Amber,Oak,Oakmoss",,4.39,5,105
https://www.fragrantica.com/perfume/Angel-Schlesser/Angel-Schlesser-Essential-32.html,Angel Schlesser Essential Angel Schlesser ,Angel Schlesser,for women,"floral,woody,fresh,powdery,fruity,rose,musky,citrus,aromatic,soft spicy","Angel Schlesser Essential  by  Angel Schlesser  is a Floral Woody Musk fragrance for women.  Angel Schlesser Essential  was launched in 2005. The nose behind this fragrance is Nathalie Lorson. Top notes are Red Currant and Bergamot; middle notes are Peony, Freesia, Violet and Bulgarian Rose; base notes are Sandalwood, Musk, Vetiver and Cedar. ","This is a minimalistic, clear and very elegant scent. Fresh and colorful fruity notes of the top are well balanced with sensual and deep woodsy nuances of the dry down.  
The composition starts with crisp bergamot and sparkling black currant; the heart blends with Bulgarian rose, violet, delicate peony and freesia. The end note is warm and comforting, of sandalwood, vetiver and deep musk.  
The perfume was created by Nathalie Lorson 2005.",Nathalie Lorson,"Red Currant,Bergamot","Peony,Freesia,Violet,Bulgarian Rose",3.72,5,"1,288"
https://www.fragrantica.com/perfume/Christian-Dior/J-adore-Eau-de-Toilette-2002-5.html,J'adore Eau de Toilette 2002 Christian Dior ,Christian Dior,for women,"white floral,citrus,floral,powdery,fresh,sweet,musky,violet,fresh spicy,rose","J'adore Eau de Toilette 2002  by  Christian Dior  is a Floral Fruity fragrance for women.  J'adore Eau de Toilette 2002  was launched in 2002. Top notes are Plum, Neroli, Mandarin Orange, Bergamot, Lemon and Nutmeg; middle notes are Jasmine, Lily-of-the-Valley, Violet, Orchid, Rose and Magnolia; base notes are Plum, Musk and Vanilla. ","This is another way to taste J’adore’s splendour. The fragrance stayed the same, but in a milder concentration, as an edt. It is a floral fragrance with the freshness of mandarin in the top notes: jasmine, plum, orchid and rose in the heart; with amaranth, musk and blackberry in the trail. It was introduced in 2002.",,"Plum,Neroli,Mandarin Orange,Bergamot,Lemon,Nutmeg","Jasmine,Lily-of-the-Valley,Violet,Orchid,Rose,Magnolia",3.70,5,358
https://www.fragrantica.com/perfume/Guerlain/L-Instant-de-Guerlain-pour-Homme-52.html,L'Instant de Guerlain pour Homme Guerlain ,Guerlain,for men,"citrus,woody,warm spicy,cacao,aromatic,anis,patchouli,powdery,fresh spicy,musky","L'Instant de Guerlain pour Homme  by  Guerlain  is a Woody Spicy fragrance for men.  L'Instant de Guerlain pour Homme  was launched in 2004. The nose behind this fragrance is Beatrice Piquet. Top notes are Lemon, Bergamot, Anise, Grapefruit and Jasmine; middle notes are Cacao, Patchouli, Sandalwood, Tea, Cedar and Lavender; base notes are Natural Musk, Hibiscus Seed and Elemi resin. ","New L\'Instant de Guerlain pour Homme is a respectable pair for the woman\'s L\'Instant de Guerlain. It was created in 2004 and features an ideal balance of passion and peace, recognition of feelings and power of reason – that is the portrait of L\'Instant de Guerlain pour Homme man. The freshness of citrus is complemented by originality of anise and jasmine in the top notes. The heart is warm and masculine: patchouli, cedar, Indian sandalwood, Lapsang tea, cocoa beans and lavender. The base unites hibiscus seeds and musk.",Beatrice Piquet,"Lemon,Bergamot,Anise,Grapefruit,Jasmine","Cacao,Patchouli,Sandalwood,Tea,Cedar,Lavender",4.30,5,"3,299"
https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,Shalimar Eau de Parfum Guerlain ,Guerlain,for women,"citrus,amber,woody,vanilla,balsamic,powdery,smoky,leather,animalic,warm spicy","Shalimar Eau de Parfum  by  Guerlain  is a Oriental Spicy fragrance for women.  Shalimar Eau de Parfum  was launched in 1925. The nose behind this fragrance is Jacques Guerlain. Top notes are Citruses, Bergamot, Lemon, Cedar and Mandarin Orange; middle notes are iris, Patchouli, Vetiver, Jasmine and Rose; base notes are Incense, Vanilla, Leather, Opoponax, Sandalwood, Civet, Tonka Bean and Musk. ","Shalimar was created by Jacques Guerlain in 1925, as a tribute to the legendary love story between Emperor SHAHJAHAN and his wife Mumtaz Mahal. Before he became emperor his name was Prince Khurram. According to the legend, twenty- year-old Prince Khurram met a young girl, named Arjumand Banu at the bazaar where her family worked. Mesmerized by her beauty, after becoming emperor, he made her his wife as Mumtaz Mahal, meaning the ""Jewel of the Palace"". After the wedding, the prince and Mumtaz were inseparable, in war and in peace. She had given 13 children to Shahjahan and died during the birth of their 14th child at the age of 39. Her death devastated Shah Jahan and had built Taj Mahal in memory of his wife and their undying love. Shalimar is named after ‘The Gardens of Shalimar’.It was Mumtaz’s favorite garden. Shalimar is one of the best selling perfumes ever and its magic is undeniable. Perfume is composed of citrus notes; lemon and bergamot, jasmine, may rose, opoponax, Tonka bean, vanilla, iris, Peru balsam and gray amber. The coolness of the citrus notes lead to a floral heart ending with a warm and luxurious trail.",Jacques Guerlain,"Citruses,Bergamot,Lemon,Cedar,Mandarin Orange","iris,Patchouli,Vetiver,Jasmine,Rose",4.06,5,"13,133"
https://www.fragrantica.com/perfume/Givenchy/Ysatis-36.html,Ysatis Givenchy ,Givenchy,for women,"woody,white floral,sweet,yellow floral,animalic,powdery,warm spicy,musky,floral,aldehydic","Ysatis  by  Givenchy  is a Chypre Floral fragrance for women.  Ysatis  was launched in 1984. The nose behind this fragrance is Dominique Ropion. Top notes are Aldehydes, Ylang-Ylang, Orange Blossom, Galbanum, Brazilian Rosewood, Coconut, Bergamot, Mandarin Orange and Citruses; middle notes are Tuberose, Jasmine, Narcissus, Carnation, Rum, iris and Rose; base notes are Civet, Honey, Oakmoss, Sandalwood, Cloves, Amber, Patchouli, Musk, Vetiver, Laurels and Vanilla. ","Magical floral fragrance. Ysatis woman is smart, emotional and distinct. Elegant bottle matches the opulent fragrance that smells like luxury. The top notes are citrus, ylang-ylang, galbanum, coconut, rose wood, and aldehydes. The heart notes are jasmine, rose, iris, tuberose and narcissus. The base notes are musk, amber, vanilla, vetiver, patchouli, sandal wood and civet. The fragrance was created by Dominique Ropion in 1984.",Dominique Ropion,"Aldehydes,Ylang-Ylang,Orange Blossom,Galbanum,Brazilian Rosewood,Coconut,Bergamot,Mandarin Orange,Citruses","Tuberose,Jasmine,Narcissus,Carnation,Rum,iris,Rose",4.07,5,"2,723"
